school,shirt,demographic,first,year,age,gender,major,conduct,travel,status,going,checked,door,dietary,probable,created
Kent State University ,XL,TRUE,TRUE,Alumnus,36,Female,UXD,TRUE,FALSE,pending,FALSE,FALSE,FALSE,[''],FALSE,10/19/2018
Kent State University ,L,TRUE,TRUE,Alumnus,22,Female,Marketing/Sales grad,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,9/12/2018
Kent State University,M,TRUE,TRUE,Freshman,18,Female,Biology,TRUE,FALSE,approved,FALSE,FALSE,FALSE,[''],FALSE,9/9/2018
Kent State University,M,TRUE,FALSE,Freshman,18,Female,Computer Science,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,9/21/2018
Kent State University,XXL,TRUE,TRUE,Freshman,19,Female,Computer Science,TRUE,FALSE,approved,FALSE,FALSE,FALSE,[],FALSE,9/28/2018
Kent State University,S,TRUE,TRUE,Freshman,19,Female,Engineering Technology,TRUE,FALSE,approved,FALSE,TRUE,FALSE,[''],FALSE,10/19/2018
Kent State University,S,TRUE,TRUE,Freshman,20,Female,Biotechnology ,TRUE,FALSE,approved,FALSE,FALSE,FALSE,['vegetarian'],FALSE,9/11/2018
University of Akron,M,TRUE,TRUE,Freshman,18,Female,HR Management,TRUE,TRUE,approved,TRUE,TRUE,FALSE,[],FALSE,10/17/2018
University of Waterloo,S,TRUE,TRUE,Freshman,18,Female,Software Engineering,TRUE,TRUE,approved,FALSE,FALSE,FALSE,[''],FALSE,8/24/2018
Youngstown State University,S,TRUE,TRUE,Freshman,18,Female,Computer Science,TRUE,FALSE,approved,TRUE,TRUE,FALSE,['vegetarian'],FALSE,9/18/2018
Case Western Reserve University ,M,TRUE,FALSE,Freshman,18,Male,CS,TRUE,FALSE,approved,FALSE,FALSE,FALSE,[''],FALSE,10/16/2018
Columbus State Community College,M,TRUE,FALSE,Freshman,21,Male,Computer Science,TRUE,TRUE,approved,TRUE,TRUE,FALSE,[],FALSE,9/8/2018
Community College of Allegheny County,M,TRUE,FALSE,Freshman,18,Male,Computer Science,TRUE,FALSE,approved,FALSE,FALSE,FALSE,[''],FALSE,8/29/2018
Cuyahoga County Community College,L,TRUE,FALSE,Freshman,18,Male,Undecided,TRUE,FALSE,approved,TRUE,FALSE,FALSE,[],FALSE,9/28/2018
Eastern Gateway Community College,M,TRUE,TRUE,Freshman,19,Male,Business Management,TRUE,FALSE,approved,FALSE,TRUE,FALSE,[''],FALSE,10/18/2018
Hiram college,L,TRUE,TRUE,Freshman,20,Male,Compute science,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,10/3/2018
Kent State University,XL,TRUE,FALSE,Freshman,18,Male,Computer Science,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,9/8/2018
Kent State University,M,TRUE,TRUE,Freshman,18,Male,Computer Science,TRUE,FALSE,pending,FALSE,FALSE,FALSE,[''],FALSE,9/19/2018
Kent State University,M,TRUE,TRUE,Freshman,18,Male,Computer Science,TRUE,FALSE,approved,TRUE,FALSE,FALSE,[],FALSE,9/20/2018
Kent State University,M,TRUE,TRUE,Freshman,18,Male,Computer Science,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,10/4/2018
Kent State University,L,TRUE,TRUE,Freshman,18,Male,Computer Science,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,10/8/2018
Kent State University,M,TRUE,TRUE,Freshman,18,Male,Computer Science,TRUE,FALSE,approved,FALSE,TRUE,FALSE,[''],FALSE,10/16/2018
Kent State University,M,TRUE,TRUE,Freshman,18,Male,Computer Science,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,10/16/2018
Kent State University,XL,TRUE,TRUE,Freshman,18,Male,Computer Science,TRUE,FALSE,approved,TRUE,TRUE,FALSE,['Pineapple Allergy'],FALSE,10/16/2018
Kent State University,M,TRUE,FALSE,Freshman,19,Male,Computer Science,TRUE,FALSE,approved,FALSE,TRUE,FALSE,[''],FALSE,8/28/2018
Kent State University,M,TRUE,FALSE,Freshman,19,Male,asdfaasdfasdf,TRUE,FALSE,pending,FALSE,FALSE,FALSE,[''],FALSE,9/19/2018
Kent State University,XXL,TRUE,TRUE,Freshman,19,Male,Computer Science,TRUE,FALSE,approved,FALSE,FALSE,FALSE,[''],FALSE,9/21/2018
Kent State University,L,TRUE,FALSE,Freshman,19,Male,Computer Science,TRUE,FALSE,approved,FALSE,TRUE,FALSE,['vegetarian'],FALSE,10/4/2018
Kent State University,L,TRUE,TRUE,Freshman,19,Male,Computer Science,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,10/11/2018
Kent State University,M,TRUE,TRUE,Freshman,18,Male,Computer Science,TRUE,FALSE,approved,FALSE,TRUE,FALSE,[''],FALSE,9/5/2018
Kent State University at Stark,XL,TRUE,FALSE,Freshman,21,Male,Criminology and justice studies ,TRUE,FALSE,approved,FALSE,TRUE,FALSE,[''],FALSE,10/19/2018
Minerva Schools at KGI,M,TRUE,FALSE,Freshman,18,Male,Computer Science,TRUE,TRUE,approved,FALSE,FALSE,FALSE,[''],FALSE,9/26/2018
Minerva Schools at KGI,S,TRUE,FALSE,Freshman,19,Male,Business and Computer Science,TRUE,TRUE,approved,FALSE,FALSE,FALSE,[''],FALSE,9/26/2018
National Insstitute of Technology Raipur,M,TRUE,FALSE,Freshman,18,Male,Computer Science,TRUE,TRUE,approved,FALSE,FALSE,FALSE,['vegetarian'],FALSE,9/8/2018
Oakland University,L,TRUE,FALSE,Freshman,18,Male,Computer Science,TRUE,TRUE,approved,TRUE,TRUE,FALSE,[],FALSE,9/24/2018
Pennsylvania State University,L,TRUE,FALSE,Freshman,19,Male,computer engineering,TRUE,FALSE,approved,FALSE,TRUE,FALSE,[''],FALSE,10/17/2018
Pennsylvania State University,XXL,TRUE,FALSE,Freshman,18,Male,Computer Science,TRUE,TRUE,approved,TRUE,TRUE,FALSE,[],FALSE,10/8/2018
Pennsylvania State University,M,TRUE,TRUE,Freshman,18,Male,Computer Science,TRUE,TRUE,approved,TRUE,FALSE,FALSE,[],FALSE,10/8/2018
Pennsylvania State University,XL,TRUE,TRUE,Freshman,18,Male,Astrophysics,TRUE,FALSE,approved,FALSE,FALSE,FALSE,[''],FALSE,10/10/2018
St. Bonaventure University,XL,TRUE,TRUE,Freshman,18,Male,Cybersecurity,TRUE,TRUE,approved,TRUE,TRUE,FALSE,[],FALSE,10/14/2018
The University of Akron,M,TRUE,TRUE,Freshman,18,Male,Computer Science/Cybersecurity,TRUE,FALSE,approved,FALSE,FALSE,FALSE,[''],FALSE,10/13/2018
The University of Toledo College of Engineering,M,TRUE,TRUE,Freshman,18,Male,Computer Science and Engineering,TRUE,FALSE,approved,TRUE,FALSE,FALSE,[],FALSE,10/9/2018
University of Akron,S,TRUE,TRUE,Freshman,19,Male,Cybersecurity,TRUE,FALSE,approved,FALSE,TRUE,FALSE,[''],FALSE,10/14/2018
University of Miami,S,TRUE,TRUE,Freshman,19,Male,Computer Engineering,TRUE,TRUE,approved,FALSE,FALSE,FALSE,['vegetarian'],FALSE,9/30/2018
University of Texas at Austin,L,TRUE,TRUE,Freshman,18,Male,Computer Science,TRUE,TRUE,approved,FALSE,FALSE,FALSE,[''],FALSE,9/16/2018
University of Toledo,L,TRUE,FALSE,Freshman,17,Male,Computer Science,TRUE,TRUE,approved,TRUE,FALSE,FALSE,['vegetarian'],FALSE,10/8/2018
University of Waterloo,L,TRUE,FALSE,Freshman,20,Male,Computer Science,TRUE,FALSE,approved,FALSE,TRUE,FALSE,[''],FALSE,10/14/2018
University of Western Ontario,S,TRUE,FALSE,Freshman,18,Male,Computer Science,TRUE,TRUE,approved,TRUE,FALSE,FALSE,[],FALSE,9/29/2018
Youngstown State University,M,TRUE,TRUE,Freshman,19,Male,Computer Science,TRUE,TRUE,approved,TRUE,TRUE,FALSE,['vegetarian'],FALSE,9/23/2018
Youngstown State University,L,TRUE,TRUE,Freshman,19,Male,Computer Science,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,9/28/2018
Youngstown State University ,S,TRUE,FALSE,Freshman,20,Male,Computer Science ,TRUE,TRUE,approved,FALSE,FALSE,FALSE,[''],FALSE,10/2/2018
Kent State University,M,TRUE,TRUE,Graduate,27,Female,computer science,TRUE,FALSE,approved,FALSE,FALSE,FALSE,[''],FALSE,10/5/2018
Kent State University,XL,TRUE,FALSE,Graduate,28,Female,Computer Science,TRUE,FALSE,approved,FALSE,FALSE,FALSE,['vegetarian'],FALSE,10/17/2018
Kent State University,L,TRUE,TRUE,Graduate,30,Female,Computer Science,TRUE,FALSE,approved,TRUE,FALSE,FALSE,['vegetarian'],FALSE,10/5/2018
Northeast Ohio Medical University,L,TRUE,FALSE,Graduate,21,Female,Medicine,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,10/2/2018
Northeastern University,M,TRUE,FALSE,Graduate,22,Female,computer system networking and telecommunication,TRUE,TRUE,approved,TRUE,FALSE,FALSE,[],FALSE,10/11/2018
Purdue University,S,TRUE,FALSE,Graduate,18,Female,Comp Sci,TRUE,TRUE,approved,FALSE,FALSE,FALSE,['vegetarian'],FALSE,9/4/2018
The Ohio State University,S,TRUE,FALSE,Graduate,24,Female,Biology,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,10/9/2018
Carnegie Mellon University,XL,TRUE,FALSE,Graduate,26,Male,Computer Science,TRUE,TRUE,approved,FALSE,FALSE,FALSE,[],FALSE,9/12/2018
"Indian Institute of Information Technology, Sri City",L,TRUE,FALSE,Graduate,20,Male,Computer Science,TRUE,TRUE,approved,FALSE,FALSE,FALSE,['vegetarian'],FALSE,8/30/2018
Indiana University Bloomington,S,TRUE,TRUE,Graduate,23,Male,Data Science,TRUE,TRUE,approved,FALSE,FALSE,FALSE,['vegetarian'],FALSE,10/9/2018
Kent State University,S,TRUE,TRUE,Graduate,18,Male,c,TRUE,TRUE,pending,FALSE,FALSE,FALSE,['kosher'],FALSE,8/23/2018
Kent State University,XXL,TRUE,FALSE,Graduate,21,Male,Computer Science,TRUE,FALSE,approved,FALSE,TRUE,FALSE,[''],FALSE,10/2/2018
Kent State University,S,TRUE,FALSE,Graduate,22,Male,Business Analytics,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,9/11/2018
Kent State University,S,TRUE,FALSE,Graduate,22,Male,Computer Science,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,10/7/2018
Kent State University,M,TRUE,TRUE,Graduate,22,Male,Computer Science,TRUE,FALSE,approved,FALSE,TRUE,FALSE,['vegetarian'],FALSE,10/9/2018
Kent State University,M,TRUE,TRUE,Graduate,22,Male,Mechatronics,TRUE,TRUE,approved,FALSE,FALSE,FALSE,['kosher'],FALSE,10/13/2018
Kent State University,S,TRUE,TRUE,Graduate,22,Male,Computer Science,TRUE,FALSE,pending,FALSE,FALSE,FALSE,[''],FALSE,10/19/2018
Kent State University,M,TRUE,FALSE,Graduate,22,Male,Computer science ,TRUE,FALSE,pending,FALSE,TRUE,FALSE,['vegetarian'],FALSE,10/20/2018
Kent State University,XL,TRUE,FALSE,Graduate,23,Male,Computer Science,TRUE,FALSE,approved,FALSE,FALSE,FALSE,[''],FALSE,10/7/2018
Kent State University,M,TRUE,TRUE,Graduate,23,Male,Computer science,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,10/16/2018
Kent State University,L,TRUE,TRUE,Graduate,24,Male,Computer Science,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,10/9/2018
Kent State University,L,TRUE,FALSE,Graduate,25,Male,Computer Science,TRUE,TRUE,approved,TRUE,TRUE,FALSE,[],FALSE,8/29/2018
Kent State University,M,TRUE,TRUE,Graduate,25,Male,computer science,TRUE,FALSE,approved,FALSE,TRUE,FALSE,[''],FALSE,10/2/2018
Kent State University,XXL,TRUE,FALSE,Graduate,27,Male,Digital Science,TRUE,FALSE,approved,FALSE,TRUE,FALSE,[''],FALSE,9/7/2018
Kent State University,M,TRUE,FALSE,Graduate,34,Male,Computer Science,TRUE,FALSE,approved,FALSE,TRUE,FALSE,['vegetarian'],FALSE,10/7/2018
Malone University,L,TRUE,FALSE,Graduate,23,Male,Psychology,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,10/15/2018
Manav Rachna International University,M,TRUE,FALSE,Graduate,21,Male,Computer Science,TRUE,TRUE,approved,FALSE,FALSE,FALSE,['vegetarian'],FALSE,9/19/2018
new york university,S,TRUE,FALSE,Graduate,25,Male,computer science,TRUE,TRUE,approved,FALSE,FALSE,FALSE,[''],FALSE,9/25/2018
North Carolina State University,S,TRUE,TRUE,Graduate,23,Male,Computer Science,TRUE,TRUE,approved,FALSE,FALSE,FALSE,[],FALSE,9/5/2018
North Carolina State University,M,TRUE,FALSE,Graduate,23,Male,Computer Science,TRUE,TRUE,pending,FALSE,FALSE,FALSE,['vegetarian'],FALSE,10/2/2018
North Carolina State University,M,TRUE,FALSE,Graduate,23,Male,Computer Science,TRUE,TRUE,approved,FALSE,FALSE,FALSE,['vegetarian'],FALSE,10/2/2018
Northeastern University,M,TRUE,TRUE,Graduate,25,Male,Computer Science,TRUE,TRUE,approved,FALSE,FALSE,FALSE,['vegetarian'],FALSE,9/20/2018
Pennsylvania State University,M,TRUE,FALSE,Graduate,21,Male,Computer Science,TRUE,TRUE,approved,FALSE,FALSE,FALSE,['vegetarian'],FALSE,9/4/2018
Stony Brook University,L,TRUE,TRUE,Graduate,26,Male,Computer Science,TRUE,TRUE,approved,FALSE,FALSE,FALSE,[''],FALSE,8/25/2018
University of Akron,M,TRUE,FALSE,Graduate,26,Male,Computer Science,TRUE,FALSE,approved,FALSE,TRUE,FALSE,[''],FALSE,10/17/2018
University of Cincinnati,M,TRUE,FALSE,Graduate,23,Male,Computer Science,TRUE,FALSE,approved,TRUE,FALSE,FALSE,['vegetarian'],FALSE,10/11/2018
University of Houston,M,TRUE,FALSE,Graduate,24,Male,Computer Science,TRUE,TRUE,approved,FALSE,FALSE,FALSE,['vegetarian'],FALSE,10/11/2018
Kent State University,XXL,TRUE,TRUE,Graduate,33,Prefer not to say,333,TRUE,TRUE,pending,FALSE,FALSE,FALSE,['glutenalsdkjfdadfaf'],FALSE,8/29/2018
Kent State University,XXL,TRUE,TRUE,Graduate,33,Prefer not to say,333,TRUE,TRUE,pending,FALSE,FALSE,FALSE,['glutenalsdkjfdadfaf'],FALSE,8/29/2018
Kent State University,M,TRUE,TRUE,Graduate,27,Prefer not to say,Chemical Physics ,TRUE,FALSE,approved,TRUE,FALSE,FALSE,['vegetarian'],FALSE,9/12/2018
Kent State University,XL,TRUE,FALSE,Alumnus,25,Male,Computer Science,TRUE,FALSE,approved,FALSE,TRUE,FALSE,['gluten'],FALSE,9/3/2018
We Can Code IT,L,TRUE,TRUE,Alumnus,22,Male,N/a,TRUE,FALSE,approved,FALSE,FALSE,FALSE,[''],FALSE,10/3/2018
Kent State University,XL,TRUE,TRUE,Alumnus,25,Male,Computer Science,TRUE,FALSE,approved,TRUE,FALSE,FALSE,[],FALSE,10/17/2018
Andrews Osborne Academy,S,TRUE,FALSE,High School,18,Female,I don’t have a major since I’m in high school.,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,10/5/2018
Andrews Osborne Academy,M,TRUE,TRUE,High School,18,Female,Nutrition,TRUE,FALSE,approved,TRUE,FALSE,FALSE,['vegetarian'],FALSE,10/12/2018
Firestone ,L,TRUE,FALSE,High School,16,Female,Computer animation ,TRUE,FALSE,approved,FALSE,FALSE,FALSE,['vegetarian'],FALSE,10/9/2018
Hinsdale Central High School,M,TRUE,FALSE,High School,17,Female,High Schooler,TRUE,TRUE,approved,FALSE,FALSE,FALSE,[''],FALSE,8/26/2018
None,M,TRUE,FALSE,High School,25,Female,Art,TRUE,FALSE,approved,FALSE,FALSE,FALSE,[''],FALSE,9/8/2018
Sir John A. Macdonald Secondary School,M,TRUE,FALSE,High School,17,Female,Still a high school student yet considering Computer Science or Engineering,TRUE,TRUE,approved,FALSE,FALSE,FALSE,[''],FALSE,9/23/2018
Stow Munroe Falls High School,S,TRUE,TRUE,High School,15,Female,Im in High School,TRUE,FALSE,approved,FALSE,TRUE,FALSE,['vegetarian'],FALSE,10/8/2018
Troy High School,M,TRUE,FALSE,High School,16,Female,High School Student,TRUE,TRUE,approved,FALSE,FALSE,FALSE,[''],FALSE,9/11/2018
Andrews Osborne Academy,L,TRUE,TRUE,High School,15,Male,computer science,TRUE,FALSE,approved,FALSE,TRUE,FALSE,[''],FALSE,10/13/2018
Andrews Osborne Academy,M,TRUE,TRUE,High School,17,Male,Computer Science,TRUE,FALSE,approved,FALSE,TRUE,FALSE,[''],FALSE,10/4/2018
Andrews Osborne Academy ,L,TRUE,TRUE,High School,17,Male,computer Science,TRUE,FALSE,approved,FALSE,FALSE,FALSE,[''],FALSE,10/8/2018
Bio-Med Science Academy,M,TRUE,TRUE,High School,16,Male,In high school,TRUE,FALSE,approved,FALSE,FALSE,FALSE,[''],FALSE,10/1/2018
Clarkston High School,L,TRUE,FALSE,High School,15,Male,Computer Science,TRUE,TRUE,approved,TRUE,TRUE,FALSE,[],FALSE,9/24/2018
East High School,L,TRUE,TRUE,High School,15,Male,English,TRUE,FALSE,approved,FALSE,FALSE,FALSE,['none'],FALSE,9/21/2018
Erindale Secondary School,M,TRUE,FALSE,High School,14,Male,To Be Medical Soon ,TRUE,TRUE,approved,TRUE,FALSE,FALSE,['kosher'],FALSE,10/5/2018
Erindale Secondary School,L,TRUE,TRUE,High School,15,Male,,TRUE,TRUE,approved,TRUE,TRUE,FALSE,[],FALSE,10/8/2018
Firestone ,L,TRUE,FALSE,High School,15,Male,Student,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,10/9/2018
Firestone ,S,TRUE,TRUE,High School,15,Male,Computer Engineer ,TRUE,FALSE,approved,FALSE,TRUE,FALSE,['N/A'],FALSE,10/9/2018
Guru Nanak Public School,M,TRUE,TRUE,High School,16,Male,Science,TRUE,TRUE,approved,TRUE,FALSE,FALSE,[],FALSE,8/24/2018
Kenmore/Garfield Highschool,XXXL,TRUE,FALSE,High School,17,Male,Information Technology,TRUE,FALSE,approved,TRUE,TRUE,FALSE,['vegetarian'],FALSE,10/13/2018
Perrysburg High School,L,TRUE,FALSE,High School,16,Male,High School,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,10/15/2018
Port Credit Secondary School,S,TRUE,FALSE,High School,14,Male,I hope to pursue Astronautical Engineering and Nanotechnology. ,TRUE,TRUE,approved,TRUE,FALSE,FALSE,['I am only able to eat one meat: Chicken.'],FALSE,9/22/2018
Salinas High School,S,TRUE,FALSE,High School,16,Male,,TRUE,TRUE,approved,FALSE,FALSE,FALSE,[''],FALSE,9/11/2018
Troy High school ,S,TRUE,TRUE,High School,16,Male,Computer Science,TRUE,TRUE,approved,FALSE,FALSE,FALSE,[''],FALSE,10/15/2018
Vincent Massey Secondary School,XL,TRUE,FALSE,High School,16,Male,Computer Science,TRUE,TRUE,approved,FALSE,FALSE,FALSE,[''],FALSE,9/19/2018
White Oaks Secondary School,XL,TRUE,FALSE,High School,16,Male,High School Diploma/IB Diploma,TRUE,TRUE,approved,FALSE,FALSE,FALSE,[''],FALSE,9/1/2018
Markville Secondary School,M,TRUE,FALSE,High School,17,Prefer not to say,Computer Engineering,TRUE,TRUE,approved,FALSE,FALSE,FALSE,[''],FALSE,10/8/2018
Andrews Osborne Academy,M,TRUE,TRUE,High School,16,Male,,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,10/11/2018
Andrews Osborne Academy,M,TRUE,TRUE,High School,15,Male,Game design,TRUE,FALSE,approved,FALSE,TRUE,FALSE,['Allergy with shell fishes'],FALSE,10/10/2018
Andrews Osborne Academy,M,TRUE,TRUE,High School,17,Male,Game Design,TRUE,FALSE,approved,FALSE,TRUE,FALSE,[''],FALSE,10/18/2018
Universidad Autonoma del Estado de Mexico,M,TRUE,TRUE,Alumnus,31,Female,BS Computer Engineering,TRUE,TRUE,approved,TRUE,FALSE,FALSE,[],FALSE,10/12/2018
Cairo University,M,TRUE,TRUE,Junior,20,Female,Computer Engineering,TRUE,TRUE,approved,FALSE,FALSE,FALSE,['Halal food '],FALSE,8/30/2018
Case Western Reserve University,M,TRUE,TRUE,Junior,22,Female,Mechanical Engineer,TRUE,FALSE,approved,TRUE,FALSE,FALSE,['None'],FALSE,10/3/2018
Columbus College of Art and Design,S,TRUE,FALSE,Junior,23,Female,Industrial Design,TRUE,FALSE,approved,TRUE,FALSE,FALSE,[],FALSE,10/13/2018
Florida International University,S,TRUE,FALSE,Junior,21,Female,Computer Science,TRUE,TRUE,approved,FALSE,FALSE,FALSE,[''],FALSE,8/27/2018
Indiana University Bloomington,M,TRUE,TRUE,Junior,20,Female,Informatics ,TRUE,TRUE,approved,FALSE,FALSE,FALSE,[''],FALSE,8/28/2018
Kent State University,L,TRUE,TRUE,Junior,20,Female,Computer Information Systems,TRUE,FALSE,approved,FALSE,FALSE,FALSE,[''],FALSE,9/8/2018
Kent State University,XL,TRUE,FALSE,Junior,20,Female,Digital Sciences,TRUE,FALSE,approved,FALSE,TRUE,FALSE,[''],FALSE,9/11/2018
Kent State University,S,TRUE,TRUE,Junior,20,Female,Computer Science,TRUE,FALSE,approved,FALSE,FALSE,FALSE,[''],FALSE,9/22/2018
Kent State University,S,TRUE,TRUE,Junior,20,Female,Entrepreneurship ,TRUE,FALSE,approved,FALSE,FALSE,FALSE,[''],TRUE,10/2/2018
Kent State University,L,TRUE,TRUE,Junior,21,Female,Pure Mathematics and Computer Science,TRUE,FALSE,approved,TRUE,TRUE,FALSE,[],FALSE,9/4/2018
Kent State University,M,TRUE,FALSE,Junior,21,Female,Animation and Game Design,TRUE,FALSE,approved,FALSE,TRUE,FALSE,[''],FALSE,10/10/2018
Purdue University,S,TRUE,FALSE,Junior,19,Female,Computer Science,TRUE,TRUE,approved,FALSE,FALSE,FALSE,['vegetarian'],FALSE,9/15/2018
Purdue University,L,TRUE,FALSE,Junior,19,Female,Computer Science,TRUE,TRUE,approved,FALSE,FALSE,FALSE,[''],FALSE,9/24/2018
Purdue University,M,TRUE,FALSE,Junior,20,Female,Computer Science,TRUE,TRUE,approved,FALSE,FALSE,FALSE,['vegetarian'],FALSE,9/15/2018
